Municipio,Provincia,Comarca,cluster,CoordenadaX,CoordenadaY,Población,area_servicio,helipuerto_municipio,distancia_helipuerto
ANDAVÍAS,ZAMORA,,ZAMORA,261960.21,4608993.32,420,ZAMORA,MANGANESES DE LA LAMPREANA,21048.277574198215
AYOÓ DE VIDRIALES,ZAMORA,,ZAMORA,246610.85,4668767.29,274,LEÓN,VALDEVIMBRE,48862.20431218084
BRIME DE URZ,ZAMORA,,ZAMORA,262220.11,4657933.27,99,ZAMORA,MANGANESES DE LA LAMPREANA,34456.2614933478
CAÑIZAL,ZAMORA,,ZAMORA,301240.66,4560073.46,421,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,61478.04035279585
EL CUBO DE TIERRA DEL VINO,ZAMORA,,ZAMORA,272990.53,4570618.35,298,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,51642.97457883856
FONFRÍA,ZAMORA,,ZAMORA,238468.86,4614096.26,763,ZAMORA,MANGANESES DE LA LAMPREANA,38015.824345440815
GALENDE,ZAMORA,,ZAMORA,197143.28,4668036.38,1024,BIERZO,CABAÑAS RARAS,57171.257634759095
HERMISENDE,ZAMORA,,ZAMORA,177405.21,4653773.19,216,BIERZO,CABAÑAS RARAS,75295.5335871453
JUSTEL,ZAMORA,,ZAMORA,227623.64,4671517.41,78,BIERZO,CABAÑAS RARAS,59426.586429008974
MANZANAL DE LOS INFANTES,ZAMORA,,ZAMORA,220042.63,4661411.35,135,ZAMORA,MANGANESES DE LA LAMPREANA,65188.59598780421
MORERUELA DE LOS INFANZONES,ZAMORA,,ZAMORA,274610.38,4612423.39,324,ZAMORA,MANGANESES DE LA LAMPREANA,13370.053679791752
MUELAS DEL PAN,ZAMORA,,ZAMORA,252340.17,4600993.27,616,ZAMORA,MANGANESES DE LA LAMPREANA,33351.8628575381
PEDRALBA DE LA PRADERÍA,ZAMORA,,ZAMORA,194230.29,4659062.3,195,BIERZO,CABAÑAS RARAS,66387.04348817252
PORTO,ZAMORA,,ZAMORA,177925.19,4675786.35,156,BIERZO,CABAÑAS RARAS,54700.68336659995
POZOANTIGUO,ZAMORA,,ZAMORA,297090.61,4607718.34,190,ZAMORA,MANGANESES DE LA LAMPREANA,28822.222911380544
ROBLEDA-CERVANTES,ZAMORA,,ZAMORA,202744.37,4665310.38,400,BIERZO,CABAÑAS RARAS,59718.603910457416
