Municipio,Provincia,Comarca,cluster,CoordenadaX,CoordenadaY,Población,area_servicio,helipuerto_municipio,distancia_helipuerto
ANDAVÍAS,ZAMORA,,ZAMORA,261960.21,4608993.32,420,ZAMORA,FONFRÍA,24039.208004135555
AYOÓ DE VIDRIALES,ZAMORA,,ZAMORA,246610.85,4668767.29,274,ZAMORA,FONFRÍA,55273.98594656467
BRIME DE URZ,ZAMORA,,ZAMORA,262220.11,4657933.27,99,ZAMORA,FONFRÍA,49857.85116009895
CAÑIZAL,ZAMORA,,ZAMORA,301240.66,4560073.46,421,ÁVILA,MUÑANA,70674.30215109463
EL CUBO DE TIERRA DEL VINO,ZAMORA,,ZAMORA,272990.53,4570618.35,298,ZAMORA,FONFRÍA,55516.43322077722
FONFRÍA,ZAMORA,,ZAMORA,238468.86,4614096.26,763,ZAMORA,FONFRÍA,0.0
GALENDE,ZAMORA,,ZAMORA,197143.28,4668036.38,1024,BIERZO,SANCEDO,62314.030119254305
HERMISENDE,ZAMORA,,ZAMORA,177405.21,4653773.19,216,ZAMORA,FONFRÍA,72821.89317470022
JUSTEL,ZAMORA,,ZAMORA,227623.64,4671517.41,78,ZAMORA,FONFRÍA,58436.352249014846
MANZANAL DE LOS INFANTES,ZAMORA,,ZAMORA,220042.63,4661411.35,135,ZAMORA,FONFRÍA,50776.408830489236
MORERUELA DE LOS INFANZONES,ZAMORA,,ZAMORA,274610.38,4612423.39,324,ZAMORA,FONFRÍA,36180.21506220356
MUELAS DEL PAN,ZAMORA,,ZAMORA,252340.17,4600993.27,616,ZAMORA,FONFRÍA,19081.4461730815
PEDRALBA DE LA PRADERÍA,ZAMORA,,ZAMORA,194230.29,4659062.3,195,ZAMORA,FONFRÍA,63079.2820894983
PORTO,ZAMORA,,ZAMORA,177925.19,4675786.35,156,BIERZO,SANCEDO,59507.69049594982
POZOANTIGUO,ZAMORA,,ZAMORA,297090.61,4607718.34,190,VALLADOLID,FUENSALDAÑA,57112.77968929982
ROBLEDA-CERVANTES,ZAMORA,,ZAMORA,202744.37,4665310.38,400,ZAMORA,FONFRÍA,62442.976171339804
